ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,CODIGO_LOCALIDAD,LOCALIDAD,ANO SERVICIO,MES SERVICIO,ENERGIA ACTIVA,ENERGIA REACTIVA,POTENCIA MAXIMA,DEMANDA MAXIMA,PROMEDIO DIARIO EN HORAS
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,3,24368,1282666,1283,Miercoles,848
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,3,2806,45332,2853,Viernes,345
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,3,4940,146261,4042,Sabado,445
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,3,4852,280394,338,Sabado,526
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,3,304957,12748428,66088,Viernes,2036
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS,2020,3,12440,568611,4039,Sabado,187
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,3,1710924,57784738,310992,Miercoles,24
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,3,2942,98723,2614,Miercoles,434
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,3,14733,812435,11282,Jueves,54
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,3,6799,309337,2424,Jueves,1318
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,3,383711,1960266,75066,Martes,24
91,AMAZONAS,91001,LETICIA,91001000,LETICIA,2020,3,3839111,1211482,765286,Jueves,24
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAÅN,2020,3,140126,5713851,29128,Miercoles,234
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES,2020,3,83195,2935031,20812,Miercoles,1844
97,VAUPES,97001,MITU,97001000,MITA,2020,3,1302115,38446976,2676,Miercoles,24
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH URIBIA,2020,3,28515,1234915,22968,Lunes,547
